,Unnamed: 0,attributes.Accepts Credit Cards,attributes.Accepts Insurance,attributes.Ages Allowed,attributes.Alcohol,attributes.Ambience.casual,attributes.Ambience.classy,attributes.Ambience.divey,attributes.Ambience.hipster,attributes.Ambience.intimate,attributes.Ambience.romantic,attributes.Ambience.touristy,attributes.Ambience.trendy,attributes.Ambience.upscale,attributes.Attire,attributes.BYOB,attributes.BYOB/Corkage,attributes.By Appointment Only,attributes.Caters,attributes.Coat Check,attributes.Corkage,attributes.Delivery,attributes.Dietary Restrictions.dairy-free,attributes.Dietary Restrictions.gluten-free,attributes.Dietary Restrictions.halal,attributes.Dietary Restrictions.kosher,attributes.Dietary Restrictions.soy-free,attributes.Dietary Restrictions.vegan,attributes.Dietary Restrictions.vegetarian,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Good For Dancing,attributes.Good For Groups,attributes.Good For.breakfast,attributes.Good For.brunch,attributes.Good For.dessert,attributes.Good For.dinner,attributes.Good For.latenight,attributes.Good For.lunch,attributes.Good for Kids,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.asian,attributes.Hair Types Specialized In.coloring,attributes.Hair Types Specialized In.curly,attributes.Hair Types Specialized In.extensions,attributes.Hair Types Specialized In.kids,attributes.Hair Types Specialized In.perms,attributes.Hair Types Specialized In.straightperms,attributes.Happy Hour,attributes.Has TV,attributes.Music.background_music,attributes.Music.dj,attributes.Music.jukebox,attributes.Music.karaoke,attributes.Music.live,attributes.Music.video,attributes.Noise Level,attributes.Open 24 Hours,attributes.Order at Counter,attributes.Outdoor Seating,attributes.Parking.garage,attributes.Parking.lot,attributes.Parking.street,attributes.Parking.valet,attributes.Parking.validated,attributes.Price Range,attributes.Smoking,attributes.Take-out,attributes.Takes Reservations,attributes.Waiter Service,attributes.Wheelchair Accessible,attributes.Wi-Fi,business_id,categories,city,full_address,hours.Friday.close,hours.Friday.open,hours.Monday.close,hours.Monday.open,hours.Saturday.close,hours.Saturday.open,hours.Sunday.close,hours.Sunday.open,hours.Thursday.close,hours.Thursday.open,hours.Tuesday.close,hours.Tuesday.open,hours.Wednesday.close,hours.Wednesday.open,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
33494,33494,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,,2.0,,,,,,,W3THJEcoHZZKgdJJdiFIWw,"['Food', 'Specialty Food', 'Seafood Markets']",Edinburgh,"39 Queensferry St
West End
Edinburgh EH2 4QS",,,,,,,,,,,,,,,55.9507665,-3.2093346,Welch Fishmongers,"['West End', 'New Town']",False,3,3.5,EDH,business
33495,33495,True,,,full_bar,False,False,False,True,False,False,False,False,False,casual,,,,False,True,,False,,,,,,,,False,,False,True,False,False,False,False,False,False,False,,,,,,,,,False,True,,False,,,,,average,,,False,False,False,True,False,,2.0,no,False,True,True,False,no,aFVO6hoFlOCN8pKsmJbWjw,"['Gastropubs', 'Bars', 'Scottish', 'Nightlife', 'Restaurants']",Edinburgh,"15-16 Market Street
Old Town
Edinburgh EH1 1DE",22:30,12:00,22:00,12:00,22:30,12:00,22:00,12:00,22:00,12:00,22:00,12:00,22:00,12:00,55.950896282322596,-3.19075942197146,The Doric,"['Old Town', 'Royal Mile']",True,44,4.0,EDH,business
33496,33496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7Iuq-HV4iA5InilfGdjMuw,"['Food', 'Specialty Food', 'Seafood Markets']",Edinburgh,"34 Great Junction Street
Leith
Edinburgh EH6 5LA",17:30,08:30,,,17:00,08:30,,,17:30,08:30,17:30,08:30,17:30,08:30,55.971238199999995,-3.1727747,Welch Fishmongers,['Leith'],True,3,3.5,EDH,business
33497,33497,True,,,full_bar,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,False,True,,,,,,,,,,,,,,,,False,True,,False,True,,False,False,average,,,False,,,,,,2.0,no,,,,,,2LZtHTbbN5xA3PcPzFsXlQ,"['Pubs', 'Bars', 'Nightlife']",Edinburgh,"71-73 York Place
New Town
New Town
Edinburgh EH1 3JD",01:00,12:00,00:00,12:00,01:00,12:00,00:00,12:30,00:00,12:00,00:00,12:00,00:00,12:00,55.9565184780178,-3.1878168306723,Conan Doyle,['New Town'],True,34,3.5,EDH,business
33498,33498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,f_adZ5jM1k9uABuleJmGpw,"['British', 'Restaurants']",Edinburgh,"144 High Street
Newington
Edinburgh EH1 1QS",,,,,,,,,,,,,,,55.9497989,-3.1887087000000003,Wee Windaes,"['Newington', 'Old Town', 'Royal Mile']",False,4,3.0,EDH,business
33499,33499,True,,,full_bar,True,False,False,False,False,False,False,False,False,,,,,,False,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,False,False,,False,False,,True,False,very_loud,,,False,False,False,True,False,False,1.0,no,,False,,True,,XeX67II3LlNJ49-sg4gDig,"['Pubs', 'Bars', 'Nightlife']",Edinburgh,"4-6 S Bridge
Newington
Edinburgh EH1 1LL",03:00,13:00,03:00,17:00,03:00,13:00,03:00,13:00,03:00,17:00,03:00,17:00,03:00,17:00,55.9490807,-3.1867810000000003,Whistle Binkies,"['Newington', 'Old Town']",True,44,3.5,EDH,business
33500,33500,True,,,full_bar,False,False,False,False,False,False,False,False,False,casual,,,,True,False,,False,,,,,,,,,,False,True,False,False,False,False,False,False,True,,,,,,,,,False,False,True,False,False,False,False,False,quiet,,,True,False,False,False,False,False,3.0,outdoor,False,True,True,False,,QXUzUvUp8_sCDzp7f4_ToQ,"['Wine Bars', 'Bars', 'Scottish', 'Nightlife', 'Restaurants']",Edinburgh,"13 Hope Street
New Town
Edinburgh EH2 4EL",00:00,12:00,00:00,12:00,01:00,12:00,00:00,12:00,00:00,12:00,00:00,12:00,00:00,12:00,55.9508028939921,-3.2082563422793595,Whighams Wine Cellars,['New Town'],True,21,4.0,EDH,business
33501,33501,True,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,False,,,,,,1.0,,,,,True,no,hFm60FnwvZJQXEVeEtUuaw,"['Thai', 'Chinese', 'Restaurants']",Edinburgh,"Unit 4a Omni Centre
Greenside Place
New Town
Edinburgh EH1 3AA",,,,,,,,,,,,,,,55.957031799999996,-3.1850222,China China,['New Town'],False,8,2.5,EDH,business
33502,33502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,outdoor,,,,,,NXsVHhf1WBhjNPCVlT4dEw,"['Pubs', 'Bars', 'Nightlife']",Edinburgh,"69 Easter Road
Leith
Edinburgh EH7 5PW",,,,,,,,,,,,,,,55.959723700000005,-3.1717306,Middleton Bar,['Leith'],True,6,3.0,EDH,business
33503,33503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,4.0,,,,,True,,F1-S8DkAsFIyrkfTl9MmlA,"['Landmarks & Historical Buildings', 'Public Services & Government']",Edinburgh,"Canongate
Edinburgh EH8 8DX",18:00,09:30,18:00,09:30,18:00,09:30,18:00,09:30,18:00,09:30,18:00,09:30,18:00,09:30,55.952715000000005,-3.1722704,Palace Of Holyrood House,[],True,45,4.0,EDH,business
