,business_id,bet_total,degree_total,deg_cen_total,clo_total,cluster_total,eigen_total,k_core_total,avg_n_d_total,open
0,3Rm2NlH_9Tp249DqicoeqQ,0.01972952,210,0.495283019,0.6625,0.409706083,0.095569507,106,107.7761905,1
1,CdZKeUZtCjqV0ni2NeFlgA,0.003841281,112,0.264150943,0.569892473,0.457046332,0.045001983,55,107.3660714,1
2,ho0ycCxMxuQmcIS-aIj-TQ,8.70E-05,31,0.073113208,0.48960739,0.711827957,0.01559341,29,130.4193548,1
3,6yCm35snSRmCQqXI8MlYSw,0.004144145,94,0.221698113,0.549222798,0.524822695,0.037569086,54,106.8510638,1
4,bi7VIc7INLhKaYZqBJR_8Q,0.000733822,118,0.278301887,0.572972973,0.856873823,0.07526414,106,140.1949153,1
5,5wUave1meYwsd6UFdihW4w,0.001700087,85,0.200471698,0.542199488,0.542296919,0.038480542,55,115.6470588,1
6,2hTbsev_7hF8Fyla0zoUAw,0.002189974,112,0.264150943,0.564580559,0.523326898,0.047419156,55,112.9821429,1
7,zw0o_GpYMKzdRNikus_dpw,0.00104833,83,0.195754717,0.542199488,0.601821922,0.038455267,54,119.2771084,1
8,U1OrMffyVeE2qbpNTrSSuA,0.000424487,22,0.051886792,0.479638009,0.80952381,0.010091376,21,114.0909091,1
9,GApmMso82MaAbCWWin3d5A,0.000577116,117,0.275943396,0.57219973,0.87032125,0.075190671,106,141.2051282,1
10,oIZSTYYYxCMgkPQ6UhfaSg,0.000747756,25,0.058962264,0.475869809,0.686666667,0.010639803,21,103.96,1
11,51tbyswAGxdw9mN5qrPGeA,0.002956245,173,0.408018868,0.62079063,0.611170856,0.0971651,106,129.1445087,1
12,jViZvpGS1uYO2E6t5fG4xw,0.004602669,159,0.375,0.610071942,0.588965847,0.086198973,106,124.4591195,1
13,Umq7lcGqslqbIFtPHwvSYw,0.005497419,137,0.323113208,0.589707928,0.684306569,0.078921938,106,128.9854015,1
14,9rz7hggrbeIOg1FcQa_uwQ,0.007553696,123,0.29009434,0.575305292,0.37571638,0.046640398,55,99.54471545,1
15,8FgK0h0Kh0BpxhaqDsjaZA,0.002480137,150,0.353773585,0.604850214,0.652438479,0.086356077,106,132.0666667,1
16,acyHuDT1T7naRmWDVfDhXg,0.010322884,155,0.365566038,0.604850214,0.572685379,0.083171476,106,121.7483871,1
17,-6NaBMeSXBnY7j9p7sdPhw,0.004280705,122,0.287735849,0.572972973,0.457390597,0.049860153,55,108.1393443,1
18,2PlaD6xXItbxo0ZbjQ7iQg,0.000747756,25,0.058962264,0.475869809,0.686666667,0.010639803,21,103.96,1
