,business_id,bet_neg,degree_neg,deg_cen_neg,clo_neg,cluster_neg,eigen_neg,k_core_neg,avg_n_d_neg,open_neg
0,aFVO6hoFlOCN8pKsmJbWjw,0,29,0.026802218,0.392736613,1,0.014863809,29,92.93103448,TRUE
1,LHoyZFH0r5BNER01X4TKqA,0.021348856,238,0.219963031,0.49405687,0.277559125,0.134359729,73,85.28571429,TRUE
2,JyDhnweQ7Tv1m337tDbLEQ,5.66E-07,30,0.027726433,0.39614095,0.997701149,0.015955971,29,95.13333333,TRUE
3,16yAOGqd3cF0srbeRfkaow,0.002813565,67,0.061922366,0.424400899,0.517412935,0.021781925,37,75.98507463,TRUE
4,6MujEd4R1taYm__hZ2gLZA,0.002093479,81,0.074861368,0.43131949,0.563271605,0.027960369,52,83.44444444,TRUE
5,Nq_BMV7kyx9_C3w0Jip6CA,0.004188007,82,0.075785582,0.435240576,0.646793135,0.054663496,58,101.1707317,TRUE
6,RKjWNwQ7rQ1Ehg0zezoM2Q,0.004202877,111,0.1025878,0.450652501,0.467485667,0.066570191,58,93.18018018,TRUE
7,Z9NI8AJnZULUD_kQBXMKwg,0.013050485,123,0.113678373,0.454523386,0.31147541,0.05264441,46,79.68292683,FALSE
8,wJL_KCCKzAod2b-GFete2A,0.005237562,40,0.036968577,0.399128912,0.587179487,0.016745653,29,76.375,TRUE
9,1wnuHWpdTCH2wa_CRuft_w,0.01387947,64,0.059149723,0.41391755,0.437996032,0.01654655,30,62.421875,TRUE
10,LjpkUvPGOPlBz0gJDMvkLQ,0.012753189,189,0.174676525,0.46872062,0.339356073,0.113713037,73,86.35978836,TRUE
11,1ZszZEN9jaUbz3ylEUOUvg,5.66E-07,30,0.027726433,0.39614095,0.997701149,0.015955971,29,95.13333333,TRUE
12,Qrqi9uBLZA37CWLlzYBfUA,0.0043161,78,0.072088725,0.426561617,0.392607393,0.032407682,34,75.70512821,FALSE
13,aggT9F3D2VcChXjB2ilVyQ,0.000495125,39,0.036044362,0.40589654,0.695006748,0.020466011,29,91.05128205,TRUE
14,B4nCcD2ycRekS3KLXqhVIw,0.009792269,65,0.060073937,0.424221827,0.534134615,0.034217873,36,88.49230769,TRUE
15,dqncTW-gl0UgLhfjZcUgCA,5.66E-07,30,0.027726433,0.39614095,0.997701149,0.015955971,29,95.13333333,FALSE
16,ymlXjucKtHv8JNkBCEVdfw,0.00121436,102,0.094269871,0.444673034,0.543389633,0.065704172,58,97.91176471,TRUE
17,tiwYVUcRudBRiYhObJ_ikg,0.00211771,49,0.045286506,0.412220472,0.483843537,0.019530593,29,74.7755102,TRUE
18,NYv46qHWvVeNRvtUrbhZQA,0.011104079,157,0.145101664,0.458670497,0.414421035,0.10115028,73,91.43949045,FALSE
19,JpA3Rl0-h9digvhs52BDwA,0.017892055,211,0.195009242,0.48360064,0.337440758,0.131836712,73,91.58767773,TRUE
20,AAfz3QT49k_pVJyXHck0Hg,5.66E-07,30,0.027726433,0.39614095,0.997701149,0.015955971,29,95.13333333,TRUE
21,8-z1aSMMQaiXIjAIkqwqbw,0.003030732,59,0.054528651,0.415972582,0.449444769,0.022531374,29,73.16949153,FALSE
22,BnlVRB0L2N62VIp4BFmGaw,0.001207353,92,0.085027726,0.432991271,0.642857143,0.058576697,66,100.5217391,FALSE
23,gyhCX6sBgZnckaBWFq8Gyw,0.001207353,92,0.085027726,0.432991271,0.642857143,0.058576697,66,100.5217391,TRUE
24,VxbK-VANsEOzqxTh_GzvzQ,0.003070858,104,0.096118299,0.445658568,0.524458551,0.065919351,58,96.78846154,TRUE
25,dwA1xZctBTqYzcvTUwc6Zw,0.015673277,185,0.170979667,0.47536914,0.335781434,0.106086433,66,88.73513514,TRUE
26,Pmoeoe5ETAEptSmosYsRzg,5.66E-07,30,0.027726433,0.39614095,0.997701149,0.015955971,29,95.13333333,TRUE
