,business_id,bet_pos,degree_pos,deg_cen_pos,clo_pos,cluster_pos,eigen_pos,k_core_pos,avg_n_d_pos,open_pos
0,WsFK533cRAmK-7ij-QcUdg,0.000624585,630,0.216643741,0.556195915,0.43587453,0.017262201,342,643.5888889,TRUE
1,3nNGmYNOP9WSB3pa8oFz6A,0.000117696,607,0.208734525,0.548931573,0.732455783,0.022926679,385,785.6128501,TRUE
2,hf-9dAwfK0uBuScm3pjVOQ,0.000752612,775,0.26650619,0.571317081,0.489295657,0.025770745,385,722.1225806,TRUE
3,g1WjHTgcJCiBqz9sSROiew,0.004609948,1568,0.539202201,0.681072217,0.313378287,0.044344099,385,617.1996173,TRUE
4,apjUK1BbswSKo5jZMuwq7A,4.58E-05,258,0.08872077,0.515281717,0.700419268,0.007976829,220,716.996124,TRUE
5,SuFx7otHdR-8nLw2sxkY0w,0.000245888,679,0.23349381,0.560929497,0.634457231,0.025525576,385,818.6318115,TRUE
6,H_078vQVM4cNA_hZSme5gA,0.000113344,333,0.114511692,0.523277788,0.586508195,0.009477189,240,678.3003003,TRUE
7,PA_uPKMxTSkVJUlrNJ7mfA,0.000519477,529,0.181911967,0.544295327,0.472153005,0.015601988,324,683.0567108,TRUE
8,_OMHnjSbCW9T-PqHkdW4Kw,0.000437384,403,0.138583219,0.530359455,0.418799304,0.011052968,276,632.4863524,TRUE
9,gBJkm5lDB1sjSibaYo0gPA,9.37E-06,77,0.02647868,0.490860782,0.64456596,0.002330742,72,708.5324675,TRUE
10,OHRGT-uLzEyp4jVerzYtJg,3.06E-05,104,0.035763411,0.495896974,0.585511576,0.002982593,90,673.7596154,TRUE
11,EDEZNi_8fgQnQK7U98pCeA,4.42E-06,51,0.017537827,0.485275352,0.854117647,0.001507626,48,689.3921569,TRUE
12,U68ltYHcTihkeHuff08vwA,0.000117696,607,0.208734525,0.548931573,0.732455783,0.022926679,385,785.6128501,FALSE
13,Pfgte-eEN0hvzpL9sVBUJA,0.001085925,802,0.275790922,0.57562634,0.473952447,0.025493784,385,712.1321696,TRUE
14,wbjvly37HUchIDrdCOevqA,0.000270671,472,0.162310867,0.536739867,0.484589226,0.014003112,317,674.4258475,TRUE
15,W3THJEcoHZZKgdJJdiFIWw,0,46,0.015818432,0.483737365,1,0.00142196,46,716.8695652,FALSE
16,PkPcOZh1tQfQUV6bJRTrng,0.005240063,1721,0.591815681,0.70697355,0.314442658,0.049677065,385,620.4584544,TRUE
17,Znt4x-X72vQi0Ws-k0jw9A,3.12E-05,153,0.05261348,0.499828594,0.700894393,0.004104527,129,631.4183007,TRUE
18,vlNJulw7ObuJi_lY88TsBw,0.007378489,1436,0.493810179,0.660443066,0.339586346,0.042189635,385,639.158078,TRUE
19,VOkUje9gCy1G0B42sYPARA,0.000190028,678,0.233149931,0.561690006,0.608188128,0.02410673,385,790.0988201,TRUE
20,nK8JQlU-TKmFUP-twpc7nA,8.33E-05,156,0.053645117,0.500605127,0.679652605,0.004155261,129,626.9294872,TRUE
21,j2-KbbQmK38ftDnTkK7A4A,2.01E-05,89,0.030605227,0.494543912,0.683094995,0.002876659,83,745.7640449,TRUE
22,P9ny_balBoeSR6Fz8ofduA,0.001642916,1338,0.460110041,0.645306075,0.405774255,0.043265881,385,695.8572496,TRUE
23,KHHWnksByK98R5iH8irYDw,0.0008017,876,0.301237964,0.585032379,0.44892107,0.026411196,385,681.7591324,TRUE
24,g054F0-_WB-J3aufvR9XBA,0.001575364,879,0.302269601,0.584914381,0.445844703,0.027440188,385,696.9533561,TRUE
25,syQJzSlYZJPEBQwHO36JzQ,0.00036717,468,0.160935351,0.538734071,0.467019894,0.013479274,300,668.5555556,TRUE
26,b6Ni0hqB_DIg8vNAM9eGWg,3.33E-05,181,0.062242091,0.506551179,0.680478821,0.005472407,156,715.1381215,FALSE
27,aIC7pT6HVkhzC6-DI4bKKw,0.001183002,1165,0.400618982,0.62125225,0.430404259,0.038108796,385,711.2858369,TRUE
28,0_CG2HJGjGAgyxVKlBgLGg,4.94E-05,238,0.081843191,0.513002919,0.615395525,0.00819447,205,777.2563025,TRUE
29,qKveGgmo0xRqNVf60ww3_g,0.002694522,1472,0.506189821,0.666667932,0.345399647,0.04378639,385,646.9735054,TRUE
30,ea1oDRrNCpEFGeAPmwgbiw,0.000756632,770,0.264786795,0.571317081,0.533538243,0.026998959,385,749.3207792,TRUE
31,RpncyC1M8qP8vUcziTQ_pA,1.99E-05,118,0.040577717,0.497342737,0.675793133,0.003202932,103,638.3898305,FALSE
32,kIH0JLW5zFTJrrSchsIb2w,7.36E-05,137,0.047111417,0.500173422,0.490124517,0.003524995,118,597.9124088,TRUE
33,4EQEcYHR-aa7jfNA1LsCJA,0.001076262,624,0.214580468,0.55449436,0.422927728,0.018563687,368,675.9391026,TRUE
34,ZvFi_R1rg260tgRKSU_6yw,8.68E-08,47,0.016162311,0.483979556,0.975948196,0.001461731,46,719.8723404,TRUE
35,sX4vfJHfs5rnvXIvLO_XxA,0.000584433,1103,0.379298487,0.612332243,0.496688622,0.039016792,385,749.8884859,TRUE
36,gPOBhJ_Brqt-OOdYhoXhlw,0.001092123,882,0.303301238,0.586096504,0.431847957,0.025772869,385,664.5442177,TRUE
37,Gyu9Xu7-I5NVNDTgTUnuMA,0.003587588,1228,0.422283356,0.63057306,0.345724192,0.034590162,385,627.7190554,TRUE
38,xFz5u2Tgv1RYmqYZ9kUFFQ,0.001471297,1109,0.381361761,0.614668398,0.415291039,0.035285943,385,696.8476105,TRUE
39,lYNVfn3o7tTqSAPTaBLAWA,0.007331029,1524,0.524071527,0.674576763,0.324652787,0.044004145,385,628.0374016,TRUE
40,rFwcTu4ZMlvYHa1F_-Qikg,0.000607325,914,0.314305365,0.588117117,0.510009802,0.031902919,385,741.368709,FALSE
41,WxU24RyxLJ_J6w3EgDCOAQ,0.000160276,175,0.060178817,0.506109163,0.663579639,0.005376735,149,727.52,TRUE
42,m0yOk-81jhCxUXy4_hqMpw,0.002449652,1183,0.406808803,0.623121079,0.376199487,0.036146638,385,668.8858833,TRUE
43,kRMmce-qdD06nm4ESno_3g,0.002320226,1512,0.519944979,0.671919718,0.361329965,0.046375762,385,660.4907407,TRUE
44,MdikV2_TNKgrPkcsG4g6Uw,0.001164665,878,0.301925722,0.584089729,0.486983218,0.028988985,385,731.3439636,TRUE
45,5oBjSVmqMbvawqMUVzt5zQ,0.000305061,629,0.216299862,0.556302609,0.6114194,0.022045627,385,784.4562798,TRUE
46,_pSMw2yZVUI_VGdUYT2Siw,0.003283037,1398,0.480742779,0.655072397,0.350536557,0.041506457,385,648.0042918,TRUE
47,wJL_KCCKzAod2b-GFete2A,0.001361522,1037,0.356602476,0.603539126,0.442554071,0.03396592,385,708.3702989,TRUE
48,fx4coO0OyW7Qe8vdLnlLiA,0.001110504,563,0.193603851,0.54779099,0.432798367,0.015835928,344,644.2113677,FALSE
49,aFVO6hoFlOCN8pKsmJbWjw,8.17E-05,177,0.060866575,0.505756104,0.633731382,0.005003085,151,672.2824859,TRUE
50,TKXsF72v6V-uQyG72bAGMg,3.40E-06,52,0.017881706,0.486578104,0.716440422,0.001864642,50,827.5384615,FALSE
51,2dUrYkzgoIuFC8hu1DTknw,0.002035782,1212,0.416781293,0.627978671,0.427685708,0.040013016,385,710.1790429,TRUE
52,Rx-1jd5iQaOas3YdpC156Q,0.00054525,704,0.242090784,0.564532899,0.558305315,0.023738502,385,754.6264205,TRUE
53,b2EmN9-mvKrJz52Y7IA60w,0.001012813,464,0.159559835,0.538034416,0.54492813,0.016160528,352,775.6400862,TRUE
54,BKJJEHhZaWPu8oTvvr-QrA,3.65E-05,96,0.03301238,0.491693032,0.7125,0.002535939,86,615.6041667,TRUE
55,VUH9DtK5G1zvgpkNpp58gg,0.001483651,828,0.284731774,0.579074581,0.439461648,0.024524496,385,673.0966184,TRUE
56,pTJnwhVIIfiCl9Z4VUcPQw,0.001661041,1252,0.430536451,0.633465597,0.389300062,0.039191228,385,675.8929712,TRUE
57,sMfOZm_UfYgkH_QERIZSqw,4.16E-05,279,0.095942228,0.517211611,0.680900441,0.008831923,231,747.2903226,FALSE
58,K2irDdBk6o-JRSewkMoEqg,0.008862571,1920,0.660247593,0.742829278,0.27915581,0.052362282,385,585.575,TRUE
59,8iEVJYVTALivGB837DKobg,0.00972112,2012,0.691884457,0.760956574,0.263529712,0.053380965,385,570.3508946,TRUE
60,8MdCSXPFHAqJnmCOLp4rIg,0.00013411,505,0.173658872,0.541247761,0.719982713,0.018295083,385,813.1188119,TRUE
61,KHv95Q_JteB-LMQF4F1Nug,0.000600455,839,0.288514443,0.57953747,0.497574963,0.028415316,385,747.1775924,TRUE
62,Oi7zNRROJa17Y1-IE7A4Gw,0.000431468,544,0.187070151,0.545832016,0.548958672,0.017269225,352,727.1323529,TRUE
63,8RXIwWR34JunHKd00UU4wA,0.000286763,707,0.243122421,0.563764678,0.586654699,0.025943638,385,786.7496464,TRUE
64,tc6V9KpFw_wAiY9mGXmmOw,0.006437538,1577,0.542297111,0.682997057,0.299212345,0.042734573,385,597.3487635,TRUE
65,w7_Gfzpd2hAkJhFsf1t06g,4.97E-05,250,0.085969739,0.510654253,0.612016064,0.007359649,213,668.88,TRUE
