,business_id,bet_eli,degree_eli,deg_cen_eli,clo_eli,cluster_eli,eigen_eli,k_core_eli,avg_n_d_eli,open_eli
0,laWCOP3z_Wcl4xk-nSmcUA,0.001032313,1199,0.448559671,0.643476168,0.489368575,0.036679213,507,784.0959133,TRUE
1,OHRGT-uLzEyp4jVerzYtJg,4.78E-05,145,0.054246165,0.508174905,0.60756705,0.003940878,119,726.2758621,TRUE
2,PA_uPKMxTSkVJUlrNJ7mfA,0.000796743,949,0.355031799,0.606948229,0.462979019,0.027114081,415,740.8324552,TRUE
3,nK8JQlU-TKmFUP-twpc7nA,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
4,WsFK533cRAmK-7ij-QcUdg,0.001267499,994,0.371866816,0.613636364,0.460294496,0.028566844,418,742.637827,TRUE
5,#NAME?,0.000358019,670,0.250654695,0.569814538,0.561626843,0.020670119,402,802.2880597,TRUE
6,wbjvly37HUchIDrdCOevqA,5.62E-05,377,0.14104003,0.535135135,0.827191151,0.012359271,325,858.4429708,TRUE
7,W3THJEcoHZZKgdJJdiFIWw,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,FALSE
8,b6Ni0hqB_DIg8vNAM9eGWg,6.88E-05,306,0.114478114,0.527531083,0.726561663,0.009525748,252,825.496732,FALSE
9,CDV83N76Fj7CqLKSN8DGQw,0.00163498,1165,0.43583988,0.637947494,0.406151645,0.032281859,421,712.1090129,TRUE
10,P9ny_balBoeSR6Fz8ofduA,0.001929004,1292,0.483352039,0.65788826,0.430827376,0.037881625,507,742.6122291,TRUE
11,j2-KbbQmK38ftDnTkK7A4A,0.000110593,315,0.117845118,0.52836529,0.666606005,0.009972248,258,837.2063492,TRUE
12,GMLIZSl24UX4A5q87B34AA,0.000354723,664,0.248410026,0.569329073,0.557060822,0.020820095,411,815.7364458,TRUE
13,WzL3daO29hcteDG1WdRotQ,0.00013114,327,0.122334456,0.530357143,0.562240859,0.009994832,263,811.0152905,TRUE
14,gqieCffMWjRTRIqdeXcvXQ,6.72E-05,359,0.134306023,0.533639449,0.796330589,0.010808352,297,800.9749304,TRUE
15,VOkUje9gCy1G0B42sYPARA,0.000523319,1011,0.378226712,0.615331492,0.556684392,0.033272046,507,827.0731949,TRUE
16,PMLfbdCLXnDEWQJH2D59DA,8.03E-05,326,0.121960344,0.52951664,0.684077395,0.009918521,264,800.9110429,TRUE
17,ZvFi_R1rg260tgRKSU_6yw,7.07E-07,78,0.029180696,0.499439462,0.964701965,0.002003733,76,687.8846154,TRUE
18,zORH1_OWemteuO5CkLUbSA,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
19,apjUK1BbswSKo5jZMuwq7A,0.000114419,451,0.16872428,0.543403131,0.707050998,0.014352907,345,832.0842572,TRUE
20,Znt4x-X72vQi0Ws-k0jw9A,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
21,e1m38tc9il7hAJnrsOOVIg,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
22,Pfgte-eEN0hvzpL9sVBUJA,0.000909628,1140,0.426487093,0.634766089,0.483780786,0.034788093,507,769.5315789,TRUE
23,WunFu-5VGn7o5XCDuxLBTw,0.000759447,1107,0.414141414,0.629533679,0.505579323,0.034576874,507,785.3721771,TRUE
24,Gyu9Xu7-I5NVNDTgTUnuMA,0.002819197,1453,0.543583988,0.685384615,0.38003826,0.040286851,507,700.1431521,TRUE
25,4Vxe1XCWbijE-d9Cl8zI2w,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
26,t7fOnFBXhAuG74hwQ5G17Q,6.11E-05,266,0.099513655,0.523501763,0.653397645,0.008446691,222,844.6052632,FALSE
27,jR8Xd6jvGj_eS-uwy1uTuA,8.80E-05,400,0.149644594,0.537935198,0.712030075,0.013641058,334,894.6975,TRUE
28,PmwANMdPudxk82DzicgHNg,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
29,b_YLXCHmz45Kv1Fk8q3ADQ,0.000416146,673,0.25177703,0.570787956,0.573622019,0.020735837,410,803.1693908,TRUE
30,kIH0JLW5zFTJrrSchsIb2w,0.000154063,367,0.137298915,0.534813926,0.613242805,0.011049072,286,797.6158038,TRUE
31,kRMmce-qdD06nm4ESno_3g,0.000579849,1069,0.399925178,0.623658423,0.543107949,0.034880666,507,818.7090739,TRUE
32,syQJzSlYZJPEBQwHO36JzQ,0.001107065,938,0.350916573,0.605024898,0.455473054,0.026285767,414,729.033049,TRUE
33,XVkZlAdctY43Ep4RD96Yew,5.48E-06,83,0.031051253,0.500561798,0.894798707,0.002125499,76,685.5783133,TRUE
34,onxuYPsxq6jU37jsIdjbfQ,1.09E-09,76,0.028432473,0.499066468,0.999649123,0.001945363,76,686.1710526,TRUE
35,Qnip6i9Zyd76QZ3X8elWjQ,0.000154377,510,0.190796857,0.550906843,0.644986325,0.015128335,347,782.0862745,FALSE
36,rFwcTu4ZMlvYHa1F_-Qikg,0.000759779,813,0.304152637,0.588118812,0.543577579,0.022012124,421,723.0479705,FALSE
