,attributes.Ages Allowed,attributes.Ambience.divey,attributes.Ambience.hipster,attributes.Ambience.touristy,attributes.Attire,attributes.By Appointment Only,attributes.Delivery,attributes.Dietary Restrictions.vegan,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Good For Dancing,attributes.Good For.breakfast,attributes.Good For.dessert,attributes.Good For.latenight,attributes.Good for Kids,attributes.Hair Types Specialized In.kids,attributes.Hair Types Specialized In.perms,attributes.Has TV,attributes.Music.jukebox,attributes.Music.karaoke,attributes.Music.live,attributes.Music.video,attributes.Outdoor Seating,attributes.Parking.garage,attributes.Parking.street,attributes.Parking.valet,attributes.Waiter Service,attributes.Wi-Fi,stars,lat_zscore,business_id
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3.5,0.7033696589456225,W3THJEcoHZZKgdJJdiFIWw
1,0,1,2,1,1,0,1,0,1,0,1,1,1,1,1,0,0,2,0,0,0,0,1,1,2,1,2,2,4.0,0.7043344109601342,aFVO6hoFlOCN8pKsmJbWjw
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.8555484523207958,7Iuq-HV4iA5InilfGdjMuw
3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,1,1,0,0,0,0,0,3.5,0.7461276649519806,2LZtHTbbN5xA3PcPzFsXlQ
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0.6961768903689913,f_adZ5jM1k9uABuleJmGpw
5,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,1,1,2,1,0,0,3.5,0.6908380660700235,XeX67II3LlNJ49-sg4gDig
6,0,1,1,1,1,0,1,0,0,0,1,1,1,1,2,0,0,1,1,1,1,1,2,1,1,1,2,0,4.0,0.7036401980315742,QXUzUvUp8_sCDzp7f4_ToQ
7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2.5,0.7499435045047989,hFm60FnwvZJQXEVeEtUuaw
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,0.7699540602420278,NXsVHhf1WBhjNPCVlT4dEw
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,4.0,0.7178540632154738,F1-S8DkAsFIyrkfTl9MmlA
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,4.0,0.7072998126728142,wjytooLlvPSyo8kvJ8UfQg
11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.0,0.6666282596414113,u8AHL_4-zkivi7NDv_oApg
12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,4.0,0.6664505961761397,yQMRUN3WlbZH-Fq__ubvXw
13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,0.6783637120513608,hPKGcV4eh-6uoWrQToMIjw
